sys_time,e_fr,e_fl,e_rr,e_rl,rtc,mils,sync,ax,ay,az,gx,gy,gz
2022-07-13 11:54:55.641515,-8,-12,-10,-7,2019-01-01 05.30.11.000000 AM,12229,0,-0.003180667757987976,0.0017065443098545074,0.9903125762939453,0.15795302391052246,-0.14952675998210907,0.7327313423156738
2022-07-13 11:54:55.641515,-8,-12,-10,-7,2019-01-01 05.30.11.000000 AM,12239,0,0.001702144742012024,0.0053686536848545074,0.9849414825439453,0.1274186372756958,-0.5464732646942139,0.7632657289505005
2022-07-13 11:54:55.642516,-8,-12,-10,-7,2019-01-01 05.30.11.000000 AM,12250,0,0.001946285367012024,-0.0014672838151454926,0.9849414825439453,0.09688425064086914,-0.3174656927585602,0.7327313423156738
2022-07-13 11:54:55.642516,-8,-12,-10,-7,2019-01-01 05.30.11.000000 AM,12260,0,0.003899410367012024,0.0058569349348545074,1.0020313262939453,0.26482319831848145,-0.21059545874595642,0.778532862663269
2022-07-13 11:54:55.643520,-8,-12,-10,-7,2019-01-01 05.30.11.000000 AM,12271,0,-0.0004951208829879761,-0.0019555650651454926,0.9881153106689453,0.28009033203125,-0.2716641426086426,0.8090672492980957
2022-07-13 11:54:55.643520,-8,-12,-10,-7,2019-01-01 05.30.11.000000 AM,12281,0,0.002922847867012024,-0.0051293931901454926,0.9856739044189453,0.14268577098846436,-0.3632672131061554,0.7937999963760376
2022-07-13 11:54:55.643520,-8,-12,-10,-7,2019-01-01 05.30.11.000000 AM,12291,0,-0.003180667757987976,0.0034155286848545074,0.9920215606689453,0.15795302391052246,-0.37853437662124634,0.778532862663269
2022-07-13 11:54:55.644520,-8,-12,-10,-7,2019-01-01 05.30.11.000000 AM,12302,0,-0.008795902132987976,-0.0014672838151454926,0.9898242950439453,0.1121513843536377,-0.3632672131061554,0.7174640893936157
2022-07-13 11:54:55.644520,-8,-12,-10,-7,2019-01-01 05.30.11.000000 AM,12312,0,-0.004889652132987976,-2.4400651454925537e-06,0.9934864044189453,0.21902167797088623,-0.3174656927585602,0.6869298219680786
2022-07-13 11:54:55.645517,-8,-12,-10,-7,2019-01-01 05.30.11.000000 AM,12323,0,0.0004814416170120239,0.0009741224348545074,0.9969043731689453,0.14268577098846436,-0.25639697909355164,0.8701359033584595
2022-07-13 11:54:55.645517,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12333,0,0.003166988492012024,-0.0019555650651454926,0.9915332794189453,0.03581559658050537,-0.42433592677116394,0.7479984760284424
2022-07-13 11:54:55.646517,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12343,0,0.0009697228670120239,0.0058569349348545074,0.9920215606689453,0.15795302391052246,-0.34800004959106445,1.0075404644012451
2022-07-13 11:54:55.646517,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12354,0,-0.002936527132987976,0.0009741224348545074,0.9900684356689453,0.1274186372756958,-0.39380156993865967,0.6869298219680786
2022-07-13 11:54:55.646517,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12364,0,-0.001715824007987976,0.0031713880598545074,0.9834766387939453,0.14268577098846436,-0.18006110191345215,0.7479984760284424
2022-07-13 11:54:55.647519,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12375,0,-0.003180667757987976,0.0014624036848545074,0.9871387481689453,0.17322015762329102,-0.18006110191345215,0.885403037071228
2022-07-13 11:54:55.647519,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12385,0,-0.004889652132987976,-0.0034204088151454926,0.9925098419189453,0.20375454425811768,-0.4396030902862549,0.8396015167236328
2022-07-13 11:54:55.648518,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12395,0,-0.001715824007987976,0.0026831068098545074,0.9878711700439453,0.1274186372756958,-0.2411298155784607,0.7937999963760376
2022-07-13 11:54:55.648518,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12406,0,0.004143550992012024,-0.0029321275651454926,0.9849414825439453,0.21902167797088623,-0.42433592677116394,0.7632657289505005
2022-07-13 11:54:55.649519,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12416,0,-0.0002509802579879761,0.0007299818098545074,0.9861621856689453,0.18848729133605957,-0.4090687334537506,0.7479984760284424
2022-07-13 11:54:55.649519,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12427,0,0.002922847867012024,0.0021948255598545074,0.9927539825439453,0.005281209945678711,-0.3174656927585602,0.778532862663269
2022-07-13 11:54:55.650517,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12437,0,0.003411129117012024,0.00048584118485450745,0.9934864044189453,0.08161711692810059,-0.30219849944114685,0.7021969556808472
2022-07-13 11:54:55.650517,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12448,0,0.004875972867012024,0.0046362318098545074,0.9886035919189453,0.15795302391052246,-0.3327328562736511,0.7327313423156738
2022-07-13 11:54:55.650517,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12458,0,-0.000983402132987976,-0.0048852525651454926,0.9927539825439453,0.06634986400604248,-0.3632672131061554,0.7632657289505005
2022-07-13 11:54:55.651518,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12468,0,-0.005133792757987976,-0.0014672838151454926,0.9866504669189453,0.14268577098846436,-0.34800004959106445,0.7632657289505005
2022-07-13 11:54:55.651518,-8,-12,-10,-7,2019-01-01 05.30.12.000000 AM,12479,0,0.006829097867012024,0.0048803724348545074,0.9949512481689453,0.08161711692810059,-0.2869313359260559,0.778532862663269
