sys_time,ax,ay,az,gx,gy,gz,imu_time,mils
2022-04-26 16:32:05.419385,-0.000550292432308197,-0.07327097654342651,1.244869589805603,-1.4637556076049805,1.268274188041687,0.8533133268356323,16:32:3,10566893
2022-04-26 16:32:05.586203,-0.003724120557308197,-0.07009714841842651,1.251949667930603,-1.2194807529449463,1.2224726676940918,0.7159087657928467,16:32:3,10566903
2022-04-26 16:32:05.586203,0.001402832567691803,-0.07546824216842651,1.248775839805603,-1.4026868343353271,1.2072054147720337,0.7464431524276733,16:32:3,10566912
2022-04-26 16:32:05.587344,-0.001282714307308197,-0.07742136716842651,1.243893027305603,-1.3263509273529053,1.176671028137207,0.6548401117324829,16:32:3,10566921
2022-04-26 16:32:05.587344,0.003844238817691803,-0.06887644529342651,1.243893027305603,-1.3721524477005005,1.4514802694320679,0.47163403034210205,16:32:3,10566931
2022-04-26 16:32:05.587344,0.005064941942691803,-0.07009714841842651,1.252682089805603,-1.3874197006225586,1.268274188041687,0.7617102861404419,16:32:3,10566940
2022-04-26 16:32:05.587344,-0.000550292432308197,-0.07327097654342651,1.243893027305603,-1.4332211017608643,1.2835413217544556,0.9601836204528809,16:32:3,10566950
2022-04-26 16:32:05.587344,0.001646973192691803,-0.07595652341842651,1.249264121055603,-1.4179539680480957,1.3293428421020508,0.7769775390625,16:32:3,10566959
2022-04-26 16:32:05.587344,0.001158691942691803,-0.07595652341842651,1.262203574180603,-1.4637556076049805,1.268274188041687,0.8075118064880371,16:32:3,10566969
2022-04-26 16:32:05.587344,-0.000794433057308197,-0.07278269529342651,1.251461386680603,-1.4026868343353271,1.1614038944244385,0.6243057250976562,16:32:3,10566978
2022-04-26 16:32:05.587344,-0.009583495557308197,-0.06545847654342651,1.243648886680603,-1.2194807529449463,1.253006935119629,0.6853744983673096,16:32:3,10566987
2022-04-26 16:32:05.587344,-0.002503417432308197,-0.07424753904342651,1.254879355430603,-1.5248241424560547,1.268274188041687,0.4410996437072754,16:32:3,10566997
2022-04-26 16:32:05.588485,0.000914551317691803,-0.07229441404342651,1.250240683555603,-1.4332211017608643,1.3598772287368774,0.7006416320800781,16:32:3,10567006
2022-04-26 16:32:05.588485,0.002623535692691803,-0.07644480466842651,1.243404746055603,-1.3416181802749634,1.1156023740768433,0.7464431524276733,16:32:3,10567016
2022-04-26 16:32:05.588485,0.003600098192691803,-0.07253855466842651,1.245113730430603,-1.28054940700531,1.1919382810592651,0.8991149663925171,16:32:3,10567025
2022-04-26 16:32:05.588485,-0.009827636182308197,-0.07082957029342651,1.247555136680603,-1.3416181802749634,1.1919382810592651,0.6701072454452515,16:32:3,10567034
2022-04-26 16:32:05.588485,-0.005433104932308197,-0.06887644529342651,1.243648886680603,-1.4179539680480957,1.1919382810592651,0.7006416320800781,16:32:3,10567044
2022-04-26 16:32:05.588485,0.000914551317691803,-0.07229441404342651,1.259762167930603,-1.2500150203704834,1.3446099758148193,0.8075118064880371,16:32:3,10567053
2022-04-26 16:32:05.588485,-0.006165526807308197,-0.07546824216842651,1.243893027305603,-1.356885313987732,1.14613676071167,0.6395729780197144,16:32:3,10567063
2022-04-26 16:32:05.588485,0.006041504442691803,-0.07278269529342651,1.245357871055603,-1.3721524477005005,1.1614038944244385,0.5937714576721191,16:32:3,10567072
2022-04-26 16:32:05.588485,0.005064941942691803,-0.07546824216842651,1.257320761680603,-1.479022741317749,1.1614038944244385,0.8227790594100952,16:32:3,10567081
2022-04-26 16:32:05.589600,0.006041504442691803,-0.07229441404342651,1.246822714805603,-1.2347478866577148,1.2072054147720337,0.7464431524276733,16:32:3,10567091
2022-04-26 16:32:05.589626,0.000670410692691803,-0.07327097654342651,1.251461386680603,-1.3110837936401367,1.1156023740768433,0.7617102861404419,16:32:3,10567100
2022-04-26 16:32:05.589626,-0.000550292432308197,-0.07351511716842651,1.247066855430603,-1.356885313987732,1.2377398014068604,0.7922446727752686,16:32:3,10567110
2022-04-26 16:32:05.589626,-0.000550292432308197,-0.07156199216842651,1.253170371055603,-1.4026868343353271,1.268274188041687,0.5632370710372925,16:32:3,10567119
2022-04-26 16:32:05.589626,-0.003724120557308197,-0.06936472654342651,1.246090292930603,-1.4026868343353271,1.4514802694320679,0.6701072454452515,16:32:3,10567128
2022-04-26 16:32:05.589626,-0.001038573682308197,-0.06374949216842651,1.256100058555603,-1.448488473892212,1.2224726676940918,0.578504204750061,16:32:3,10567138
2022-04-26 16:32:05.589626,0.000670410692691803,-0.07473582029342651,1.238033652305603,-1.3874197006225586,1.176671028137207,0.5937714576721191,16:32:3,10567147
