sys_time,imu_time,ax,ay,az,gx,gy,gz
2022-02-14 17:29:28.528545,721.951521,0.0001220703125,-0.9351806640625,-0.366943359375,-0.06103515625,2.74658203125,0.91552734375
2022-02-14 17:29:28.653361,722.070408,0.0001220703125,-0.935302734375,-0.3677978515625,0.06103515625,2.74658203125,0.9765625
2022-02-14 17:29:28.706178,722.087268,0.0,-0.9345703125,-0.3671875,0.18310546875,2.50244140625,0.9765625
2022-02-14 17:29:28.707180,722.119348,0.0,-0.9345703125,-0.3680419921875,0.06103515625,2.74658203125,0.91552734375
2022-02-14 17:29:28.709179,722.133988,0.000244140625,-0.93505859375,-0.3670654296875,0.0,2.74658203125,1.03759765625
2022-02-14 17:29:28.766178,722.147122,0.0003662109375,-0.9346923828125,-0.3675537109375,0.244140625,2.62451171875,0.91552734375
2022-02-14 17:29:28.767180,722.18142,0.0001220703125,-0.935302734375,-0.366943359375,0.0,2.8076171875,1.0986328125
2022-02-14 17:29:28.768180,722.189411,0.000244140625,-0.936767578125,-0.3671875,0.1220703125,2.74658203125,1.0986328125
2022-02-14 17:29:28.826180,722.211265,0.0003662109375,-0.936767578125,-0.3673095703125,-0.06103515625,2.5634765625,1.03759765625
2022-02-14 17:29:28.827180,722.2411,-0.000244140625,-0.93505859375,-0.3675537109375,0.1220703125,2.5634765625,1.0986328125
2022-02-14 17:29:28.829180,722.248609,0.0001220703125,-0.9356689453125,-0.36767578125,0.1220703125,2.685546875,0.9765625
2022-02-14 17:29:28.886180,722.265635,-0.0003662109375,-0.934814453125,-0.3675537109375,0.1220703125,2.74658203125,0.9765625
2022-02-14 17:29:28.887180,722.3041,-0.0006103515625,-0.9356689453125,-0.367431640625,0.1220703125,2.62451171875,1.0986328125
2022-02-14 17:29:28.889182,722.30944,-0.000244140625,-0.93603515625,-0.3677978515625,-0.18310546875,2.74658203125,1.0986328125
2022-02-14 17:29:28.946180,722.325152,-0.0003662109375,-0.9364013671875,-0.3675537109375,0.06103515625,2.8076171875,0.91552734375
2022-02-14 17:29:28.947180,722.361125,-0.0003662109375,-0.9349365234375,-0.3671875,0.1220703125,2.99072265625,1.15966796875
2022-02-14 17:29:28.948180,722.367532,-0.0009765625,-0.935302734375,-0.3670654296875,0.244140625,2.74658203125,0.9765625
2022-02-14 17:29:29.006180,722.384613,-0.000244140625,-0.9351806640625,-0.3675537109375,0.1220703125,2.8076171875,1.03759765625
2022-02-14 17:29:29.007180,722.422328,0.0001220703125,-0.935791015625,-0.3671875,0.244140625,2.685546875,0.9765625
2022-02-14 17:29:29.008180,722.428236,0.000244140625,-0.935302734375,-0.367919921875,0.0,2.685546875,1.03759765625
2022-02-14 17:29:29.067180,722.448985,0.0,-0.9351806640625,-0.3665771484375,0.30517578125,2.74658203125,1.03759765625
2022-02-14 17:29:29.067180,722.483359,-0.00048828125,-0.9345703125,-0.3670654296875,0.18310546875,2.8076171875,0.9765625
2022-02-14 17:29:29.069180,722.486423,-0.000244140625,-0.9349365234375,-0.3677978515625,0.18310546875,2.8076171875,0.9765625
2022-02-14 17:29:29.126179,722.503532,-0.0003662109375,-0.934814453125,-0.366943359375,0.1220703125,2.685546875,0.91552734375
2022-02-14 17:29:29.128180,722.54013,0.0003662109375,-0.9344482421875,-0.367431640625,0.244140625,2.74658203125,1.220703125
2022-02-14 17:29:29.129180,722.545967,-0.0003662109375,-0.935546875,-0.3677978515625,0.1220703125,2.62451171875,0.9765625
2022-02-14 17:29:29.186179,722.563068,0.0,-0.9359130859375,-0.3671875,0.0,2.62451171875,1.03759765625
2022-02-14 17:29:29.187180,722.602356,0.0003662109375,-0.9349365234375,-0.3670654296875,0.1220703125,2.86865234375,1.15966796875
2022-02-14 17:29:29.188180,722.605419,-0.000244140625,-0.935302734375,-0.36767578125,0.0,2.8076171875,1.220703125
2022-02-14 17:29:29.246180,722.62233,-0.0001220703125,-0.9349365234375,-0.3670654296875,0.06103515625,2.5634765625,0.9765625
2022-02-14 17:29:29.247180,722.664082,0.0,-0.935546875,-0.3670654296875,0.244140625,2.8076171875,1.0986328125
2022-02-14 17:29:29.249179,722.673256,-0.000244140625,-0.935791015625,-0.366943359375,0.06103515625,2.86865234375,1.220703125
2022-02-14 17:29:29.306180,722.694801,0.00048828125,-0.935791015625,-0.3675537109375,0.244140625,2.50244140625,0.9765625
2022-02-14 17:29:29.365181,722.721359,-0.00048828125,-0.9351806640625,-0.3680419921875,0.1220703125,2.74658203125,0.91552734375
2022-02-14 17:29:29.366180,722.724425,-0.0006103515625,-0.9356689453125,-0.3668212890625,0.18310546875,2.685546875,1.03759765625
2022-02-14 17:29:29.368181,722.741549,-0.0008544921875,-0.9359130859375,-0.3673095703125,0.1220703125,2.685546875,1.0986328125
2022-02-14 17:29:29.369180,722.783096,-0.00048828125,-0.9356689453125,-0.3671875,0.06103515625,2.74658203125,1.03759765625
2022-02-14 17:29:29.426179,722.800814,0.0003662109375,-0.9356689453125,-0.3673095703125,0.06103515625,2.5634765625,0.9765625
2022-02-14 17:29:29.427181,722.840118,-0.0001220703125,-0.935546875,-0.3673095703125,0.06103515625,2.74658203125,1.0986328125
2022-02-14 17:29:29.429182,722.843181,0.000244140625,-0.9356689453125,-0.3673095703125,0.0,2.86865234375,1.220703125
2022-02-14 17:29:29.486181,722.860071,-0.0001220703125,-0.9344482421875,-0.36767578125,-0.06103515625,2.74658203125,1.03759765625
2022-02-14 17:29:29.487180,722.902084,0.00048828125,-0.9354248046875,-0.3671875,0.18310546875,2.8076171875,1.0986328125
